timestamp,prompt_length,layer1_ms,layer2_ms,layer3_ms,layer4_ms,layer5_ms,total_ms
2026-06-15T17:04:27.544300+00:00,63,2218.51,2.32,484.88,15047.25,3042.70,20795.75
2026-06-15T17:05:02.164123+00:00,44,1480.99,4.83,204.70,14344.49,2413.13,18448.20
2026-06-15T17:05:38.034056+00:00,66,2135.18,9.43,206.13,14361.45,3680.72,20392.99
2026-06-15T17:05:56.526868+00:00,54,632.27,1.26,165.20,10442.10,2604.58,13845.46
2026-06-15T17:06:17.171138+00:00,60,666.34,0.97,192.62,14459.98,3357.48,18677.44
2026-06-15T17:06:23.315424+00:00,63,1351.67,0.85,155.79,1734.30,1028.79,4271.47
2026-06-15T17:06:48.185593+00:00,54,978.79,2.56,167.52,14613.89,2563.77,18326.59
2026-06-15T17:06:56.631782+00:00,61,850.17,6.35,188.43,3472.84,664.22,5182.06
2026-06-15T17:07:12.212176+00:00,47,583.47,0.38,32.10,9110.15,1278.49,11004.63
2026-06-15T17:07:16.272760+00:00,96,673.97,0.43,29.83,0.00,0.00,704.25
2026-06-15T17:07:19.576916+00:00,82,677.25,0.94,32.60,0.00,0.00,710.86
2026-06-15T17:07:22.797188+00:00,89,671.64,0.39,31.66,0.00,0.00,703.71
2026-06-15T17:07:25.808218+00:00,91,693.92,0.14,26.04,599.60,417.01,1736.73
2026-06-15T17:07:28.269720+00:00,77,534.16,0.49,23.87,0.00,0.00,558.55
2026-06-15T17:07:58.371474+00:00,88,753.36,0.73,34.68,13571.85,2016.28,16376.96
2026-06-15T17:08:00.659771+00:00,85,529.13,0.28,16.89,539.93,356.24,1442.50
2026-06-15T17:08:32.361606+00:00,93,947.10,1.29,173.80,13429.58,2352.59,16904.40
2026-06-15T17:08:47.707362+00:00,83,979.23,1.47,142.55,0.00,0.00,1123.30
2026-06-15T17:08:52.347935+00:00,88,505.94,0.38,19.12,1190.57,410.71,2126.73
2026-06-15T17:08:56.968056+00:00,81,514.00,0.55,25.20,1729.94,453.99,2723.71
2026-06-15T17:09:27.623814+00:00,79,1405.84,1.04,134.26,14219.68,2182.94,17943.80
2026-06-15T17:09:33.202482+00:00,83,688.59,0.63,147.00,1308.57,438.79,2583.58
2026-06-15T17:09:37.255442+00:00,87,631.30,5.99,32.38,1437.71,485.17,2593.07
2026-06-15T17:09:56.397586+00:00,89,595.01,0.65,28.96,8409.31,1062.77,10096.74
2026-06-15T17:10:26.488700+00:00,85,623.11,0.58,130.94,13224.15,2122.92,16101.88
2026-06-15T17:10:29.991315+00:00,81,628.39,0.88,153.04,1004.96,407.39,2194.69
2026-06-15T17:10:31.749592+00:00,84,570.15,0.34,22.97,0.00,0.00,593.48
2026-06-15T17:10:34.959409+00:00,77,620.90,0.15,20.45,1020.40,428.38,2090.29
2026-06-15T17:10:38.526948+00:00,84,527.86,0.33,29.25,1258.77,531.61,2347.86
2026-06-15T17:10:40.362870+00:00,78,610.61,0.29,30.19,0.00,0.00,641.12
2026-06-15T17:10:42.232924+00:00,82,577.26,0.24,17.76,0.00,0.00,595.27
2026-06-15T17:10:44.093507+00:00,79,630.54,0.57,19.54,0.00,0.00,650.67
2026-06-15T17:10:47.566161+00:00,88,774.95,0.49,21.01,1034.37,490.54,2321.40
2026-06-15T17:10:52.704799+00:00,93,588.09,0.29,28.04,1490.81,647.27,2754.52
2026-06-15T17:10:57.429771+00:00,78,1310.51,0.58,25.80,1232.69,463.19,3032.81
2026-06-15T17:11:03.892009+00:00,79,626.94,0.23,25.22,1107.69,970.63,2730.76
2026-06-15T17:11:09.169044+00:00,80,1112.68,3.60,260.05,1291.54,542.59,3210.61
2026-06-15T17:11:14.553983+00:00,74,1498.27,0.69,152.38,1724.15,726.71,4102.40
2026-06-15T17:11:18.263563+00:00,84,1806.81,3.39,227.24,0.00,0.00,2037.66
2026-06-15T17:11:24.738385+00:00,76,1485.38,1.08,162.69,1925.50,807.52,4382.21
2026-06-15T17:11:31.747795+00:00,83,1305.40,0.67,134.10,1629.17,2650.86,5720.31
2026-06-15T17:11:38.267274+00:00,82,867.21,0.97,212.79,2727.13,792.05,4600.30
2026-06-15T17:11:42.566913+00:00,80,906.42,0.84,174.23,1076.87,984.37,3142.78
2026-06-15T17:12:03.374818+00:00,110,790.95,0.44,152.77,1137.08,664.60,2745.86
2026-06-15T17:12:09.894141+00:00,98,632.39,0.47,28.90,1360.64,444.98,2467.41
2026-06-15T17:12:29.283120+00:00,47,1316.62,0.47,140.42,1280.50,492.34,3230.39
2026-06-15T17:12:36.058676+00:00,52,888.17,3.67,147.78,1232.04,492.02,2763.82
2026-06-15T17:12:44.265788+00:00,58,697.49,0.74,141.38,2257.74,964.03,4061.46
2026-06-15T17:12:51.630802+00:00,60,731.75,0.14,57.20,1110.88,571.74,2471.74
2026-06-15T17:12:58.572003+00:00,57,686.02,0.25,130.38,1333.26,553.58,2703.50
2026-06-15T17:13:16.071741+00:00,42,562.72,0.20,25.45,13396.33,3507.02,17491.78
2026-06-15T17:13:36.363341+00:00,52,950.87,0.97,208.41,16331.19,2791.31,20283.11
2026-06-15T17:13:53.040668+00:00,42,507.24,1.03,130.66,13502.00,2524.19,16665.21
2026-06-15T17:14:09.478011+00:00,42,482.62,0.34,22.28,13597.70,2325.15,16428.14
2026-06-15T17:14:25.891221+00:00,49,512.58,0.81,59.09,13524.75,2310.00,16407.27
2026-06-15T17:14:26.437354+00:00,49,518.19,0.24,22.84,0.00,0.00,541.27
2026-06-15T17:14:42.307483+00:00,42,484.31,0.09,15.95,13223.09,2142.44,15865.97
2026-06-15T17:14:59.858143+00:00,61,516.69,0.68,116.25,13741.87,3165.30,17540.85
2026-06-15T17:15:16.774465+00:00,49,723.86,0.89,117.95,13746.19,2307.94,16896.88
2026-06-15T17:15:32.571076+00:00,37,516.98,2.29,117.14,13163.48,1988.37,15788.32
2026-06-15T17:15:47.982068+00:00,46,511.55,0.24,23.79,12832.74,2035.74,15404.10
2026-06-15T17:16:03.598940+00:00,42,500.46,0.26,21.79,12963.59,2125.63,15611.76
2026-06-15T17:16:19.590899+00:00,45,478.34,0.23,22.47,13200.29,2284.02,15985.37
2026-06-15T17:16:32.592869+00:00,30,492.77,0.69,56.23,10688.85,1758.10,12996.67
2026-06-15T17:16:48.882640+00:00,36,479.13,0.22,109.69,13015.05,2678.51,16282.62
2026-06-15T17:16:58.408546+00:00,44,566.75,0.35,22.17,7295.22,1633.43,9517.96
2026-06-15T17:17:16.249163+00:00,44,577.46,1.31,115.22,14245.98,2888.72,17828.82
2026-06-15T17:17:32.394696+00:00,47,514.35,0.90,117.99,13191.85,2312.70,16137.85
2026-06-15T17:17:49.357763+00:00,42,496.31,1.75,103.81,13645.09,2705.79,16952.92
2026-06-15T17:18:05.762264+00:00,50,588.42,1.27,117.42,13415.12,2270.14,16392.41
2026-06-15T17:18:21.473643+00:00,48,533.88,0.72,107.52,12630.35,2432.00,15704.51
2026-06-15T17:18:37.530392+00:00,37,533.09,0.75,109.39,13165.34,2239.93,16048.54
2026-06-15T17:18:53.372536+00:00,48,503.27,0.69,135.09,12919.15,2278.16,15836.39
2026-06-15T17:19:09.010365+00:00,52,471.98,0.54,108.81,13063.93,1988.08,15633.38
2026-06-15T17:19:24.998843+00:00,35,568.62,0.22,32.97,12944.95,2435.62,15982.42
2026-06-15T17:19:39.964456+00:00,39,490.08,0.31,19.31,12500.33,1948.24,14958.30
2026-06-15T17:19:56.465459+00:00,40,504.19,0.80,125.43,13335.44,2529.69,16495.59
2026-06-15T17:20:12.212088+00:00,42,539.12,0.74,133.11,12998.62,2068.49,15740.13
2026-06-15T17:20:27.934894+00:00,37,506.66,0.62,117.18,13108.34,1984.53,15717.38
2026-06-15T17:20:44.231919+00:00,53,574.61,0.22,26.41,13432.51,2253.74,16287.51
2026-06-15T17:21:02.590732+00:00,32,487.61,0.73,110.18,14786.27,2963.57,18348.72
2026-06-15T17:21:19.152046+00:00,54,593.95,0.95,111.87,13523.70,2321.02,16551.52
2026-06-15T17:21:35.852943+00:00,41,501.92,0.89,109.48,13502.11,2578.13,16692.60
2026-06-15T17:21:53.731894+00:00,46,529.37,1.58,119.36,14847.29,2371.15,17868.79
2026-06-15T17:22:12.175577+00:00,41,586.92,0.75,119.79,15242.49,2487.52,18437.50
2026-06-15T17:22:29.118062+00:00,48,616.27,0.23,29.32,14101.46,2189.29,16936.60
2026-06-15T17:22:45.892624+00:00,41,495.62,0.22,28.09,13472.20,2772.28,16768.46
2026-06-15T17:22:59.769085+00:00,37,543.04,0.41,28.82,11709.23,1586.90,13868.47
2026-06-15T17:23:18.458482+00:00,52,553.62,0.27,22.22,14456.60,3651.24,18684.04
2026-06-15T17:23:19.088080+00:00,47,593.52,0.31,30.43,0.00,0.00,624.28
2026-06-15T17:23:35.576740+00:00,42,508.50,0.07,17.57,13207.61,2747.84,16481.61
2026-06-15T17:23:51.587892+00:00,50,561.70,0.83,116.28,13251.97,2069.95,16000.82
2026-06-15T17:24:08.147472+00:00,29,499.94,0.72,125.83,13425.97,2499.24,16551.76
2026-06-15T17:24:26.533872+00:00,44,490.47,0.79,104.62,15188.32,2591.89,18376.21
2026-06-15T17:24:43.681421+00:00,32,843.05,0.78,134.86,13630.39,2530.58,17139.69
2026-06-15T17:25:00.571389+00:00,59,829.50,0.95,122.15,13625.24,2303.67,16881.56
2026-06-15T17:25:16.851061+00:00,48,560.51,0.75,24.24,13415.31,2272.04,16272.89
2026-06-15T17:25:29.750053+00:00,39,502.72,0.09,22.74,10877.20,1485.88,12888.65
2026-06-15T17:25:45.196138+00:00,55,517.09,0.22,28.82,12889.86,2002.24,15438.26
2026-06-15T17:26:00.498740+00:00,62,546.99,1.25,20.77,12811.74,1914.32,15295.18
2026-06-15T17:26:20.725204+00:00,37,692.78,0.29,50.16,16393.62,3076.53,20213.42
2026-06-15T17:26:21.393192+00:00,51,532.95,0.80,121.03,0.00,0.00,654.81
2026-06-15T17:26:39.890933+00:00,53,494.96,0.12,18.14,15075.29,2905.68,18494.22
2026-06-15T17:26:58.355892+00:00,47,632.50,1.27,127.31,15111.77,2584.04,18456.94
2026-06-15T17:27:14.252385+00:00,45,516.97,1.08,118.45,13120.72,2129.61,15886.87
2026-06-15T17:27:30.831695+00:00,40,477.11,0.30,22.67,13012.04,3060.99,16573.19
2026-06-15T17:27:47.352639+00:00,43,509.78,0.35,23.99,13397.62,2579.58,16511.37
